absolute_magnitude,velocity,diameter_min,diameter_max,miss_distance_au,is_hazardous
20.95,19.0555273331,0.1716148941,0.38374256910000004,0.218470656,0
24.6,7.515713805,0.0319561887,0.07145621020000001,0.4177744319,0
27.2,5.9989966538,0.0096506147,0.0215794305,0.2090599272,0
24.9,15.8315682972,0.0278326768,0.0622357573,0.41820022,0
22.82,6.1741789758,0.07253622950000001,0.1621959399,0.4465069453,0
26.8,9.453142313,0.0116025908,0.0259441818,0.37557285,0
25.04,12.6121153616,0.0260948603,0.0583498816,0.2716089544,0
24.0,6.1370775616,0.0421264611,0.0941976306,0.4257961889,0
23.4,19.5004899811,0.0555334912,0.1241766613,0.3192515976,0
26.1,10.0012775753,0.0160160338,0.0358129403,0.3100477284,0
23.45,7.4156198739,0.0542693946,0.1213500554,0.0351574232,0
25.3,12.1211379413,0.023150212200000003,0.0517654482,0.4734526441,0
25.55,6.1629805782,0.020632648400000002,0.0461360043,0.4355017644,0
17.75,29.1981644677,0.7491261831,1.6750970692,0.3147335674,0
24.1,18.8780768751,0.040230458000000004,0.0899580388,0.3551715413,0
25.7,5.8998581988,0.019255507800000002,0.0430566244,0.2247751207,0
19.79,18.6029611607,0.2927891485,0.6546964391,0.1465368102,0
25.6,13.5307458106,0.0201629919,0.0450858206,0.2636111147,0
21.2,17.3166461674,0.1529519353,0.3420109247,0.2556594863,1
27.6,15.2947673407,0.008027031700000001,0.017948988500000002,0.3856287376,0
27.6,9.8406886537,0.008027031700000001,0.017948988500000002,0.4629169033,0
21.88,13.5307158791,0.1118291378,0.250057554,0.0538646192,1
25.2,8.5043680952,0.0242412481,0.054205078600000005,0.4773274843,0
25.3,13.6614760026,0.023150212200000003,0.0517654482,0.3360099376,0
20.95,19.0555273331,0.1716148941,0.38374256910000004,0.218470656,0
20.7,13.6831574672,0.1925550782,0.4305662442,0.1461124625,0
23.9,8.6579174468,0.04411182,0.09863702810000001,0.3184992597,0
21.56,17.3974983131,0.1295850727,0.28976103140000004,0.1352268261,0
23.01,6.770851631,0.0664591797,0.1486072436,0.0975499782,0
22.67,2.3377007125,0.0777239702,0.1737960809,0.2554528014,0
27.5,8.1636564396,0.008405334,0.0187948982,0.3715172201,0
